antiga;nova
;EP-DC-RECT01-04(SEM IDENTIFICA  O )
;RPP-00-AB-03(SEM IDENTIFICA  O )
;RPP-STS00-B-AB-04(SEM IDENTIFICA  O )
;RPP-00-AB-07(SEM IDENTIFICA  O )
;RPP-00-AB-08(SEM IDENTIFICA  O )
;RPP-00-AB-21(SEM IDENTIFICA  O )
;EP-G-FM200(SEM IDENTIFICA  O )
;RPP-00-AB22(SEM IDENTIFICA  O )
;RPP-00-AB-23(SEM IDENTIFICA  O )
;RPP-00-AB-24(SEM IDENTIFICA  O )
;RPP-STS00-A-AB-15(SEM IDENTIFICA  O )
;RPP-STS00-A-AB-16(SEM IDENTIFICA  O )
;RPP-STS00-A-AB-17(SEM IDENTIFICA  O )
;RPP-STS00-A-AB-18(SEM IDENTIFICA  O )
;RPP-STS00-A-AB-19(SEM IDENTIFICA  O )
;RPP-STS00-A-AB-20(SEM IDENTIFICA  O )
;DP-2-RPP00-B(TIPEM)
;DP-2-STS00-B(TIPEM)
;STS00-B(EXCHANGE )
;DP-2-EXT00-B-01(SEM IDENTIFICA  O )
;DP-2-EXT00-B-02(SEM IDENTIFICA  O )
;DP-CRAH-1-TA00-B(SCHNEIDER ELECTRIC )
;CRAH-1-A-TA00-B-01(LIEBERT)
;CRAH-2-A-TA00-B-02(LIEBERT)
;CRAH-1-A-TA00-B-03(LIEBERT)
;CRAH-2-A-TA00-B-04(LIEBERT)
;CRAH-1-A-TA00-B-05(LIEBERT)
;CRAH-2-A-TA00-B-05(LIEBERT)
;AP-BMS-CRAH-TA00-B(NETSAVIA )
;DP-CRAH-2-TA00-B(SEM IDENTIFICA  O )
;CCP-CRAH-TA00-B(SEM IDENTIFICA  O )
;DP-1-RPP00-A(TIPEM)
;DP-1-STS00-A(TIPEM)
;STS00-A(TIPEM)
;DP-1-EXT00-A-01(TIPEM)
;DP-1-EXT00-A-02(TIPEM)
;LPP-TA00-A(LIEBERT)
;CRAH-1-A-TA00-A-01(LIEBERT)
;CRAH-2-A-TA00-A-02(LIEBERT)
;CRAH-1-A-TA00-A-03(LIEBERT)
;CRAH-2-A-TA00-A-04(LIEBERT)
;CRAH-1-A-TA00-A-05(LIEBERT)
;CRAH-2-A-TA00-A-06(LIEBERT)
;DP-CRAH-2-TA00-A(SCHNEIDER ELECTRIC )
;DP-CRAH-1-TA00-A(SCHNEIDER ELECTRIC )
;AP-BMS-CRAH-1-A(SEM IDENTIFICA  O )
;AP-BMS-CRAH-2-A(NETSAVIA )
;EP-TK-01(SEM IDENTIFICA  O )
;EP-TK-02(SEM IDENTIFICA  O )
;MDP-01(SEM IDENTIFICA  O )
;MDP-02(SEM IDENTIFICA  O )
;CRAH-1-B-TA01-C-01(LIEBERT)
;CRAH-2-B-TA01-C-02(LIEBERT)
;CRAH-1-B-TA01-C-03(LIEBERT)
;DP-CRAH-2-TA01-C(N O IDENTIFICADO)
;DP-CRAH-1-TA01-C(N O IDENTIFICADO)
;CRAH-2-B-TA01-C-04(LIEBERT)
;CRAH-1-B-TA01-C-05(LIEBERT)
;CRAH-2-B-TA01-C-06(LIEBERT)
;CRAH-1-B-TA01-C-07(LIEBERT)
;CRAH-2-B-TA01-C-08(LIEBERT)
;CRAH-1-B-TA01-C-09(LIEBERT)
;CRAH-2-B-TA01-C-10(LIEBERT)
;RPP-STS01-A-30(TIPEM)
;RPP-STS01-A-31(TIPEM)
;RPP-01-A-28(TIPEM)
;RPP-01-B-29(TIPEM)
;DP-2-RPP01-B(N O IDENTIFICADO)
;DP-2-STS01-B(N O IDENTIFICADO)
;DP-2-EXT01-B(N O IDENTIFICADO)
;STS01-B(N O IDENTIFICADO)
;DP-CRAH-2-TA01-B(N O IDENTIFICADO)
;CCP-CRAH-TA01-B(N O IDENTIFICADO)
;CRAH-2-A-TA01-B-06(LIEBERT)
;CRAH-1-A-TA01-B-05(LIEBERT)
;DP-CRAH-1-TA01-B(N O IDENTIFICADO)
;CRAH-2-A-TA01-B-04(LIEBERT)
;CRAH-1-A-TA01-B-03(LIEBERT)
;CRAH-2-A-TA01-B-02(LIEBERT)
;CRAH-1-A-TA01-B-01(LIEBERT)
;AP-CRAH-BMS-TA01-B(N O IDENTIFICADO)
;DP-1-RPP01-A(N O IDENTIFICADO)
;DP-1-STS01-A(N O IDENTIFICADO)
;LPP-TA01-A(N O IDENTIFICADO)
;DP-1-EXT01-A(N O IDENTIFICADO)
;STS01-A(N O IDENTIFICADO)
;DP-CRAH-1-TA01-A(N O IDENTIFICADO)
;CCP-CRAH-TA01-A(N O IDENTIFICADO)
;AP-CRAH-BMS-TA01-A(N O IDENTIFICADO)
;CRAH-2-A-TA01-A-06(LIEBERT)
;CRAH-1-A-TA01-A-05(LIEBERT)
;CRAH-2-A-TA01-A-04(LIEBERT)
;CRAH-1-A-TA01-A-03(LIEBERT)
;CRAH-2-A-TA01-A-02(LIEBERT)
;CRAH-1-A-TA01-A-01(LIEBERT)
;DP-CRAH-2-TA01-A(N O IDENTIFICADO)
;RPP-STS01-A-AB-10(SEM IDENTIFICA  O )
;RPP-STS01-B-AB-11(SEM IDENTIFICA  O )
;RPP-STS01-A-AB-12(SEM IDENTIFICA  O )
;RPP-STS01-A-AB-13(SEM IDENTIFICA  O )
;RPP-STS01-A-AB-14(SEM IDENTIFICA  O )
;RPP-STS01-B-AB-15(SEM IDENTIFICA  O )
;RPP-STS01-B-AB-16(SEM IDENTIFICA  O )
;RPP-STS01-B-AB-17(SEM IDENTIFICA  O )
;RPP-STS01-B-AB-18(SEM IDENTIFICA  O )
;RPP-STS01-A-AB-01(SEM IDENTIFICA  O )
;RPP-STS01-A-AB-02(SEM IDENTIFICA  O )
;RPP-STS01-A-AB-03(SEM IDENTIFICA  O )
;RPP-01-AB-06(SEM IDENTIFICA  O )
;RPP-01-AB-07(SEM IDENTIFICA  O )
;RPP-01-AB-05(SEM IDENTIFICA  O )
;RPP-STS01-B-AB-04(SEM IDENTIFICA  O )
;RPP-STS01-B-AB-08(SEM IDENTIFICA  O )
;EP-DC-RR01-02-03(SEM IDENTIFICA  O )
;AP-BMS-DH01-01(NETSAVIA )
;RPP-01-AB-23(SEM IDENTIFICA  O )
;AP-BMS-DH01-02(SIMOR)
;RPP-01-B-19(SEM IDENTIFICA  O )
;RPP-STS01-B-AB-21(SEM IDENTIFICA  O )
;RPP-STS01-A-AB-22(SEM IDENTIFICA  O )
;RPP-01-A-20(SEM IDENTIFICA  O )
;RPP-STS01-A-B-25(N O IDENTIFICADO)
;RPP-01-B-27(N O IDENTIFICADO)
;RPP-01-A-26(N O IDENTIFICADO)
;EP-DC-RECT-01-01(N O IDENTIFICADO)
;EP-DC-RECT-01-02(N O IDENTIFICADO)
;CRAH-1-A-TA02-B-01(LIEBERT)
;FL01-DH01-02-RPP-01-B-19
ATS-3.4;ATS-CRAC-UR1-1-04 - (ATS-3.4)
ATS-3.3;ATS-CRAC-UR1-1-03 - (ATS-3.3)
TEA-3.3;DP-CRAC-UR1-1-03 - (TEA-3.3)
TEA-3.4;DP-CRAC-UR1-1-04 - (TEA-3.4)
AA3 - UPS I;CRAC-0-UR01-01-03 - (AA3 - UPS I)
AA4 - UPS I;CRAC-0-UR01-01-04 - (AA4 - UPS I)
TABLERO DE CONTROL AA2-UPSI;AP-CRAC-UR1-1-02 - (TABLERO DE CONTROL AA2-UPSI)
TABLERO DE CONTROL AA3-UPSI;AP-CRAC-UR1-1-03 - (TABLERO DE CONTROL AA3-UPSI)
AA1-UPS I;CRAC-0-UR01-01-01 - (AA1-UPS I)
AA2-UPS I;CRAC-0-UR01-01-02 - (AA2-UPS I)
TEA - 3.1;DP-CRAC-UR1-1-01 - (TEA - 3.1)
TABLERO DE CONTROL AA1-UPSI;AP-CRAC-UR1-1-01 - (TABLERO DE CONTROL AA1-UPSI)
TRANSFORMADOR RPP 2A-01;TR-RPP-2A-01 - (TRANSFORMADOR RPP 2A-01)
TEA-3.2;DP-CRAC-UR1-1-02 - (TEA-3.2)
ATS-3.2;ATS-CRAC-UR1-1-02 - (ATS-3.2)
BANCO DE BATERIA UPS-1B-02;BB-1B-02 - (BANCO DE BATERIA UPS-1B-02)
BANCO DE BATERIA UPS-1B-01;BB-1B-01 - (BANCO DE BATERIA UPS-1B-01)
ATS-3.1;ATS-CRAC-UR1-1-01 - (ATS-3.1)
UPS 3A-1;UPS-3A-01 - (UPS 3A-1)
BANCO DE BATERIA UPS 3A-01;BB-UPS 3A-01 - (BANCO DE BATERIA UPS 3A-01)
SISTEMA UPS NXA 64 KW (1+0) BUS 3A TABLERO IN/OUT BY PASS;DP-UPS-3A - (SISTEMA UPS NXA 64 KW (1+0) BUS 3A TABLERO IN/OUT BY PASS)
SISTEMA UPS NXA 64 KW (1+0) BUS 3B TABLERO IN/OUT BY PASS;DP-UPS-3B - (SISTEMA UPS NXA 64 KW (1+0) BUS 3B TABLERO IN/OUT BY PASS)
3B-01;UPS-3B-01 - (3B-01)
BANCO DE BATERIA UPS-3B-01;BB-3B-01 - (BANCO DE BATERIA UPS-3B-01)
BANCO DE BATERIA UPS-2A-01;BB-2A-01 - (BANCO DE BATERIA UPS-2A-01)
SISTEMA UPS NXA 360 KW (2+0) BUS 2A TABLERO IN/OUT BY PASS;DP-UPS-2A - (SISTEMA UPS NXA 360 KW (2+0) BUS 2A TABLERO IN/OUT BY PASS)
UPS-2A-1;UPS-2A-01 - (UPS-2A-1)
TABLERO T1 - UPS OUT BUS 1B;DP-RPP-1B-01 - (TABLERO T1 - UPS OUT BUS 1B)
TABLERO T2-UPS OUT PANEL INFERIOR BUS 1B;DP-RPP-1B-02 - (TABLERO T2-UPS OUT PANEL INFERIOR BUS 1B)
UPS-1B-2;UPS-1B-02 - (UPS-1B-2)
UPS-1B-1;UPS-1B-01 - (UPS-1B-1)
SISTEMA BUS-1B;DP-UPS-1B - (SISTEMA BUS-1B)
PAINEL SUPERIOR BUS-2A;DP-RPP-2A - (PAINEL SUPERIOR BUS-2A)
TABLERO DE CONTROL AA4-UPSI;AP-CRAC-UR1-1-04 - (TABLERO DE CONTROL AA4-UPSI)
SISTEMA BUS-2A;DP-EXT-UPS-2A - (SISTEMA BUS-2A)
UPS-2A-2;UPS-2A-02 - (UPS-2A-2)
BANCO DE BATERIA UPS-2A-02;BB-2A-02 - (BANCO DE BATERIA UPS-2A-02)
UPS-2B-1;UPS-2B-01 - (UPS-2B-1)
UPS-2B-2;UPS-2B-02 - (UPS-2B-2)
SISTEMA BUS-2B;DP-UPS-2B - (SISTEMA BUS-2B)
TEA-3.6;DP-CRAC-UR1-2-02 - (TEA-3.6)
TABLERO DE CONTROL AA2-UPSA;AP-CRAC-UR1-2-02 - (TABLERO DE CONTROL AA2-UPSA)
TEA-3.5;DP-CRAC-UR1-2-01 - (TEA-3.5)
TABLERO DE CONTROL AA1-UPSA;AP-CRAC-UR1-2-01 - (TABLERO DE CONTROL AA1-UPSA)
BANCO DE BATERIA 01 UPS 2B-01;BB-UPS-2B-01 - (BANCO DE BATERIA 01 UPS 2B-01)
BANCO DE BATERIA 01 UPS 2B-02;BB-UPS-2B-02 - (BANCO DE BATERIA 01 UPS 2B-02)
ATS-3.5;ATS-CRAC-UR1-2-01 - (ATS-3.5)
ATS-3.6;ATS-CRAC-UR1-2-02 - (ATS-3.6)
RPP-1C-02;RPP-01-1C-02 - (RPP-1C-02)
RPP-1D-02;RPP-01-1D-02 - (RPP-1D-02)
RPP-2A-02;RPP-01-2A-02 - (RPP-2A-02)
ATS-1.4;ATS-CRAC-DH1-1-04 - (ATS-1.4)
TEA-1.4;DP-CRAC-DH1-1-04 - (TEA-1.4)
TABLERO DE CONTROL AA4-S1;AP-CRAC-DH1-1-04 - (TABLERO DE CONTROL AA4-S1)
AA03-S01;CRAC-0-DH01-01-03 - (AA03-S01)
TABLERO DE CONTROL AA3-S1;AP-CRAC-DH1-1-03 - (TABLERO DE CONTROL AA3-S1)
ATS-1.3;ATS-CRAC-DH1-1-03 - (ATS-1.3)
TEA-1.3;DP-CRAC-DH1-1-03 - (TEA-1.3)
RPP-1A-04;RPP-01-1A-04 - (RPP-1A-04)
RPP-1B-05;RPP-01-1B-05 - (RPP-1B-05)
RPP-1B-02;RPP-01-1B-02 - (RPP-1B-02)
RPP-1B-01;RPP-01-1B-01 - (RPP-1B-01)
RPP-1D-01;RPP-01-1D-01 - (RPP-1D-01)
RPP-2A-01;RPP-01-2A-01 - (RPP-2A-01)
RPP-1A-01;RPP-01-1A-01 - (RPP-1A-01)
AA5-S1;CRAC-0-DH01-01-05 - (AA5-S1)
TABLERO DE CONTROL AA6-S1;AP-CRAC-DH1-1-06 - (TABLERO DE CONTROL AA6-S1)
RPP-2B-01;RPP-01-2B-01 - (RPP-2B-01)
AA6-S1;CRAC-0-DH01-01-06 - (AA6-S1)
TEA-1.6;DP-CRAC-DH1-1-06 - (TEA-1.6)
ATS-1.6;ATS-CRAC-DH1-1-06 - (ATS-1.6)
ATS-1.5;ATS-CRAC-DH1-1-05 - (ATS-1.5)
TEA-1.5;DP-CRAC-DH1-1-05 - (TEA-1.5)
RPP-2A-03;RPP-01-2A-03 - (RPP-2A-03)
RPP-1C-01;RPP-01-1C-01 - (RPP-1C-01)
BMS-ISLA-1;AP-BMS-DH01-01 - (BMS-ISLA-1)
ATS-1.1;ATS-CRAC-DH1-1-01 - (ATS-1.1)
TEA-1.1;DP-CRAC-DH1-1-01 - (TEA-1.1)
TABLERO DE CONTROL AA1-S1;AP-CRAC-DH1-1-01 - (TABLERO DE CONTROL AA1-S1 )
TABLERO DE CONTROL AA2-S1;AP-CRAC-DH1-1-02 - (TABLERO DE CONTROL AA2-S1)
RPP-2B-02;RPP-01-2B-02 - (RPP-2B-02)
ATS-1.2;ATS-CRAC-DH1-1-02 - (ATS-1.2)
TEA-1.2;DP-CRAC-DH1-1-02 - (TEA-1.2)
RPP-1B-03;RPP-01-1B-03 - (RPP-1B-03)
AA04-S01;CRAC-0-DH01-01-04 - (AA04-S01)
AA1-S1;CRAC-0-DH01-01-01 - (AA1-S1 )
TGA;LPP-DH01-01 - (TGA)
TABLERO DE CONTROL AA5-S1;AP-CRAC-DH1-1-05 - (TABLERO DE CONTROL AA5-S1 )
AA2-S1;CRAC-0-DH01-01-02 - (AA2-S1)
TABLERO DE DISTRIBUICION ALUMBRADO Y TOMAS;LPP-ER01-01 - (TABLERO DE DISTRIBUICION ALUMBRADO Y TOMAS)
TABLERO DE DISTRIBUICION #14;LPP-GS-ER01-01 - (TABLERO DE DISTRIBUICION #14)
TTA-02 \ RAMAL-B;DSE-M-ATS-G-02 - (TTA-02 \ RAMAL-B)
T-TRA BUS-3A;DP-TR-UPS-3A - (T-TRA BUS-3A)
T-TRA BUS-3B;DP-TR-UPS-3B - (T-TRA BUS-3B)
TRANSFORMADOR 100KVA BUS 3A TRIF SICO;TR-UPS-3A - (TRANSFORMADOR 100KVA BUS 3A TRIF SICO)
TRANSFORMADOR 3B;TR-UPS-3B - (TRANSFORMADOR 3B)
TRANSFORMADOR 200KVA BUS 1D-01 TRIF SICO;TR-UPS-1D - (TRANSFORMADOR 200KVA BUS 1D-01 TRIF SICO)
TR-G02;TR-G-02 - (TR-G02)
TR-G01;TR-G-01 - (TR-G01)
IN\OUT TRANSF UPS 1D-01;DP-TR-UPS-1D - (IN\OUT TRANSF UPS 1D-01)
IN\OUT TRANSF UPS 1C-01;DP-TR-UPS-1C - (IN\OUT TRANSF UPS 1C-01)
TRANSFORMADOR 200KVA BUS 1C-01 TRIF SICO;TR-UPS-1C - (TRANSFORMADOR 200KVA BUS 1C-01 TRIF SICO)
TTA-01 \ RAMAL-A;DSE-M-ATS-G-01 - (TTA-01 \ RAMAL-A)
TABLERO DE PASO 1D-01;DP-UPS-1D - (TABLERO DE PASO 1D-01)
TABLERO DE PASO 1C-01;DP-UPS-1C - (TABLERO DE PASO 1C-01)
TABLERO DE BARRAS;DP-TR-G-02 - (TABLERO DE BARRAS)
TGBT-02;DSE-M-UPS-B - (TGBT-02)
TGBT-01;DSE-M-UPS-A - (TGBT-01)
TABLERO TGBT-03\OTF;DSE-M-UPS-D - (TABLERO TGBT-03\OTF)
TABLERO ST-02;DP-CRAC-GS-D - (TABLERO ST-02)
GE-03;G-FL01-03 - (GE-03)
TK 03;DDT-G-03 - (TK 03)
TTA-03 \ RAMAL-C;DSE-M-ATS-G-03 - (TTA-03 \ RAMAL-C)
TAB DE PASO TTA-03 \ TTA-04;DSE-M-ATS-G-03-04 - (TAB DE PASO TTA-03 \ TTA-04)
TTA-04 \ RAMAL-D;DSE-M-ATS-G-04 - (TTA-04 \ RAMAL-D)
BANCO DE CONDENSADORES;CB-GENERAL - (BANCO DE CONDENSADORES)
TABLERO GENERAL DE BORNERAS;CCP-A-P-G-03 - (TABLERO GENERAL DE BORNERAS )
TABLERO DE ARRANQUE DE BOMBA GE03 Y GE04;EP-P-G-03-04 - (TABLERO DE ARRANQUE DE BOMBA GE03 Y GE04)
TABLERO AUXILIAR GE-03;EP-AUX-G-03 - (TABLERO AUXILIAR GE-03)
TABLERO DE PASO GE CATERPILLAR;DP-G-03 - (TABLERO DE PASO GE CATERPILLAR)
TABLERO DE ARRENQUE DE BOMBA GE N1;EP-P-G-01 - (TABLERO DE ARRENQUE DE BOMBA GE N1)
TABLERO DE ARRENQUE DE BOMBA GE N2;EP-P-G-02 - (TABLERO DE ARRENQUE DE BOMBA GE N2)
TABLERO DE ELECTROBOMBA;EP-P-GR01-03 - (TABLERO DE ELECTROBOMBA)
TABLERO TGD-02;DP-CRAC-2-ER01-01 - (TABLERO TGD-02)
TABLERO TGD-01;DP-CRAC-1-ER01-01 - (TABLERO TGD-01)
TABLERO DE PASO SALA NOC-BUS A;EP-NOC-A - (TABLERO DE PASO SALA NOC-BUS A)
TABLERO DE PASO SALA NOC-BUS B;EP-NOC-B - (TABLERO DE PASO SALA NOC-BUS B)
TABLERO DE PASO GRUPO ELECTROGENO;DP-G-04 - (TABLERO DE PASO GRUPO ELECTROGENO)
BANCO DE BATERIAS N1 CAB IIIB;BB-RECT-03B-01 - (BANCO DE BATERIAS N1 CAB IIIB)
BANCO DE BATERIAS N2 CAB IIIA;BB-RECT-03A-02 - (BANCO DE BATERIAS N2 CAB IIIA)
TABLERO DE EQUIPOS DE AA 02 Y 04;DP-CRAC-UR1-3-02 - (TABLERO DE EQUIPOS DE AA 02 Y 04)
TABLERO DE EQUIPOS DE AA 01 Y 03;DP-CRAC-UR1-3-01 - (TABLERO DE EQUIPOS DE AA 01 Y 03)
UPS 1A-01;UPS-1A-01 - (UPS 1A-01)
UPS 1A-02;UPS-1A-02 - (UPS 1A-02)
BANCO DE BATERIA 01 UPS 1C-01;BB-UPS-1C - (BANCO DE BATERIA 01 UPS 1C-01)
BANCO DE BATERIA 01 UPS 1D-01;BB-UPS-1D - (BANCO DE BATERIA 01 UPS 1D-01)
1D-01;UPS-1D-01 - (1D-01)
TABLERO IN\OUT UPS 1D-01;DP-UPS-1D - (TABLERO IN\OUT UPS 1D-01)
1C-01;UPS-1C-01 - (1C-01)
TABLERO IN\OUT UPS 1C-01;DP-UPS-1C - (TABLERO IN\OUT UPS 1C-01)
TABLERO IN\OUT UPS 1A;DP-UPS-1A - (TABLERO IN\OUT UPS 1A)
PACI-MTR-001;CCP-FIRE-SYSTEM - (PACI-MTR-001)
TABLERO 1 TDEE UPS GXT;DP-RPP-NOC-01 - (TABLERO 1 TDEE UPS GXT )
TABLERO 2 TDEE UPS GXT;DP-RPP-NOC-02 - (TABLERO 2 TDEE UPS GXT )
TDC NOC;DP-CRAC-NOC01-01 - (TDC NOC)
SWITCH DE TRANSFERENCIA AUTONOMIA NOC 3;STS-NOC-03 - (SWITCH DE TRANSFERENCIA AUTONOMIA NOC 3)
TABLERO DE DISTRIBUICION NOC 3;DP-NOC-03 - (TABLERO DE DISTRIBUICION NOC 3)
TDC-DC2;LPP-DH01-02 - (TDC-DC2 )
ATS-2.10;ATS-CRAC-DH1-2-10 - (ATS-2.10)
RPP-2B-03;RPP-01-2B-03 - (RPP-2B-03)
RPP-2B-04;RPP-01-2B-04 - (RPP-2B-04)
RPP-2B-05;RPP-01-2B-05 - (RPP-2B-05)
RPP-1B-06;RPP-01-1B-06 - (RPP-1B-06)
RPP-3A-01;RPP-01-3A-01 - (RPP-3A-01)
RPP-2A-04;RPP-01-2A-04 - (RPP-2A-04)
RPP-2A-05;RPP-01-2A-05 - (RPP-2A-05)
ATS-2.9;ATS-CRAC-DH1-2-09 - (ATS-2.9)
TABLERO DE CONTROL AA9-S2;AP-CRAC-DH1-2-09 - (TABLERO DE CONTROL AA9-S2)
TEA-2.9;DP-CRAC-DH1-2-09 - (TEA-2.9)
AA9-S2;CRAC-0-DH01-02-09 - (AA9-S2)
AA8-S2;CRAC-0-DH01-02-08 - (AA8-S2)
TEA-2.8;DP-CRAC-DH1-2-08 - (TEA-2.8)
ATS-2.8;ATS-CRAC-DH1-2-08 - (ATS-2.8)
TABLERO DE CONTROL AA8-S2;AP-CRAC-DH1-2-08 - (TABLERO DE CONTROL AA8-S2)
AA6-S2;CRAC-0-DH01-02-06 - (AA6-S2)
TEA-2.6;DP-CRAC-DH1-2-06 - (TEA-2.6)
RPP-1B-04;RPP-01-1B-04 - (RPP-1B-04)
ATS-2.6;ATS-CRAC-DH1-2-06 - (ATS-2.6)
TABLERO DE CONTROL AA3-S2;AP-CRAC-DH1-2-03 - (TABLERO DE CONTROL AA3-S2 )
AA3-S2;CRAC-0-DH01-02-03 - (AA3-S2)
TEA-2.3;DP-CRAC-DH1-2-03 - (TEA-2.3)
ATS-2.3;ATS-CRAC-DH1-2-03 - (ATS-2.3)
TABLERO DE CONTROL AA2-S2;AP-CRAC-DH1-2-02 - (TABLERO DE CONTROL AA2-S2)
AA02-S02;CRAC-0-DH01-02-02 - (AA02-S02)
TEA-2.2;DP-CRAC-DH1-2-02 - (TEA-2.2)
ATS-2.2;ATS-CRAC-DH1-2-02 - (ATS-2.2)
BMS-ISLA-2;AP-BMS-DH01-02 - (BMS-ISLA-2)
AA7-S2;CRAC-0-DH01-02-07 - (AA7-S2)
TABLERO DE CONTROL AA7-S2;AP-CRAC-DH1-2-07 - (TABLERO DE CONTROL AA7-S2)
TEA-2.7;DP-CRAC-DH1-2-07 - (TEA-2.7)
ATS-2.7;ATS-CRAC-DH1-2-07 - (ATS-2.7)
AA5-S2;CRAC-0-DH01-02-05 - (AA5-S2)
RPP-1A-03;RPP-01-1A-03 - (RPP-1A-03)
TABLERO DE CONTROL AA5-S2;AP-CRAC-DH1-2-05 - (TABLERO DE CONTROL AA5-S2)
RPP-1A-02;RPP-01-1A-02 - (RPP-1A-02)
ATS-2.5;ATS-CRAC-DH1-2-05 - (ATS-2.5)
TEA-2.5;DP-CRAC-DH1-2-05 - (TEA-2.5)
AA1-S2;CRAC-0-DH01-02-01 - (AA1-S2)
TABLERO DE CONTROL AA1-S2;AP-CRAC-DH1-2-01 - (TABLERO DE CONTROL AA1-S2)
TEA-2.1;DP-CRAC-DH1-2-01 - (TEA-2.1)
RPP-3B-01;RPP-01-3B-01 - (RPP-3B-01)
ATS-2.1;ATS-CRAC-DH1-2-01 - (ATS-2.1)
TABLERO DE CONTROL AA4-S2;AP-CRAC-DH1-2-04 - (TABLERO DE CONTROL AA4-S2)
AA04-S02;CRAC-0-DH01-02-04 - (AA04-S02)
ATS-2.4;ATS-CRAC-DH1-2-04 - (ATS-2.4)
TEA-2.4;DP-CRAC-DH1-2-04 - (TEA-2.4)
TR-02;TR-02 - (TR-02)
TR-01;TR-01 - (TR-01)
CEYM;MS1 - (CEYM)
TPG;DSE-M-TR-01-02 - (TPG)
TANQUE PRINCIPAL DE DIESEL;DMP-01 - (TANQUE PRINCIPAL DE DIESEL)
TABLERO AUXILIAR DE GE-N2;EP-AUX-G-02 - (TABLERO AUXILIAR DE GE-N2)
TANQUE 2;DDT-G-02 - (TANQUE 2)
TABLERO (T-ANTENA DE TRANSMISION);EP-ANTENNA-01 - (TABLERO (T-ANTENA DE TRANSMISION))
TABLERO DE DIFERENCIALES (T-ANTENA DE TRANSMISION);EP-ANTENNA-02 - (TABLERO DE DIFERENCIALES (T-ANTENA DE TRANSMISION))
GE-02;G-FL01-02 - (GE-02)
TANQUE 4;DDT-G-04 - (TANQUE 4)
GE-04;G-FL01-04 - (GE-04)
TABLERO AUXILIAR GE-N4;EP-AUX-G-04 - (TABLERO AUXILIAR GE-N4)
TABLERO AUXILIAR DE GE-N1;EP-AUX-G-01 - (TABLERO AUXILIAR DE GE-N1)
GE-01;G-FL01-01 - (GE-01)
CARREGADOR DE BATERIAS;EP-DC-G-FL01-01 - (CARREGADOR DE BATERIAS )
TANQUE 1-1;DDT-G-01-01 - (TANQUE 1-1)
TANQUE 1-2;DDT-G-01-02 - (TANQUE 1-2)
AA01-TRANSMISIONES 05 TR;CRAC-1-TH02-01-01 - (AA01-TRANSMISIONES 05 TR)
AA02-TRANSMISIONES 05 TR;CRAC-1-TH02-01-02 - (AA02-TRANSMISIONES 05 TR)
AA03-TRANSMISIONES 05 TR;CRAC-1-TH02-01-03 - (AA03-TRANSMISIONES 05 TR)
AA04-TRANSMISIONES 05 TR;CRAC-1-TH02-01-04 - (AA04-TRANSMISIONES 05 TR )
AA05-TRANSMISIONES 05 TR;CRAC-1-TH02-01-05 - (AA05-TRANSMISIONES 05 TR )
TABLERO AC AIRE ACONDICIONADO;DP-CRAC-1-TH02-01 - (TABLERO AC AIRE ACONDICIONADO)
TABLERO DE LUMINARIAS;LPP-TH02-01 - (TABLERO DE LUMINARIAS )
CABECERA BAST 05;EP-DC-RECT-01 - (CABECERA BAST 05)
CABECERA I;RECT-01 - (CABECERA I)
RETIFICADORES DELTA 1;DP-RECT-01 - (RETIFICADORES DELTA 1)
AA06-TRANSMISIONES 03 TR;CRAC-1-TH02-01-06 - (AA06-TRANSMISIONES 03 TR)
U.C AA N 2 / SALA SOPORTE CLIENTE;CON-1-OF02-02-02 - (U.C AA N 2 / SALA SOPORTE CLIENTE )
SUB TABLERO DE AA CLIENTES;DP-CRAH-FL03 - (SUB TABLERO DE AA CLIENTES )
U.C AA N 1 / SALA SOPORTE CLIENTE;CON-1-OF02-02-01 - (U.C AA N 1 / SALA SOPORTE CLIENTE )
U.C AA N 1 / TRANSMISIONES;CON-1-TH01-01-01 - (U.C AA N 1 / TRANSMISIONES )
U.C AA N 2 / TRANSMISIONES;CON-1-TH01-01-02 - (U.C AA N 2 / TRANSMISIONES )
U.C AA N 3 / TRANSMISIONES;CON-1-TH01-01-03 - (U.C AA N 3 / TRANSMISIONES )
U.C AA N 4 / TRANSMISIONES;CON-1-TH01-01-05 - (U.C AA N 4 / TRANSMISIONES )
U.C AA N 6 / TRANSMISIONES;CON-1-TH01-01-06 - (U.C AA N 6 / TRANSMISIONES )
TABLERO PDP ROOFTOP;EP-CUSTOMER - (TABLERO PDP ROOFTOP )
AA1 -S1;CON-1-UR1-1-01 - (AA1 -S1)
U.C AA N 2 / SALA CONMUTACION;CON-1-TH01-02-02 - (U.C AA N 2 / SALA CONMUTACION)
U.C AA N 1 / SALA CONMUTACION;CON-1-TH01-02-01 - (U.C AA N 1 / SALA CONMUTACION)
U.C AA N 2 / SALA BASE CELULAR;CON-1-TH02-03-02 - (U.C AA N 2 / SALA BASE CELULAR )
U.C AA N 4 / DATA CENTER 02;CON-0-DH01-02-04 - (U.C AA N 4 / DATA CENTER 02)
UC AA4 -S2;CON-0-DH01-02-04 - (UC AA4 -S2)
U.C AA N 1 / SALA BASE CELULAR;CON-1-TH02-03-01 - (U.C AA N 1 / SALA BASE CELULAR )
